statecode,latitude,longitude
UT,41.734596,-111.858845
UT,38.788711,-112.082934
UT,39.687072,-111.834716
WI,43.532054,-89.985003
WY,41.309157,-105.6168
MD,39.659612,-77.372951
MN,43.65333,-94.44699
MN,45.464763,-94.13048
VA,37.9297,-79.2347
WV,38.21211,-80.85046
OH,38.996498,-82.553129
OH,41.10865,-81.306926
AL,34.087923,-87.598318
AR,34.778612,-92.253458
GA,33.560769,-83.478379
GA,33.560769,-83.478379
GA,32.307935,-81.87355
IL,41.781755,-88.20637
IL,41.781755,-88.20637
MO,38.605865,-90.451009
OH,41.559083,-83.46042
TN,36.52964,-86.64821
FL,27.915748,-81.718792
PA,28.37741,-80.70245
SC,34.856708,-81.008505
TN,35.018588,-85.290762
TN,35.722229,-86.320516
VA,36.855426,-76.323553
VA,36.958032,-81.058021
WI,32.50298,-87.82661
TX,32.98365,-96.269645
OH,40.265847,-82.924148
WI,42.714658,-88.982745
WY,41.785713,-107.25992
NJ,39.686621,-75.446601
OR,45.239367,-122.803413
WY,43.016151,-108.379839
IL,38.391439,-89.348495
IL,38.391439,-89.348495
CO,40.087546,-104.980665
WV,39.189066,-81.529953
KS,39.841203,-96.860158
OK,36.859012,-101.20904
CO,38.095707,-102.62027
IN,39.614255,-119.263645
IN,39.614255,-119.263645
ID,43.590418,-116.580485
VT,44.15984,-72.088556
ID,42.0169,-111.805
TN,36.156978,-86.770012
NY,43.051272,-76.562556
WA,46.583682,-122.888672
AZ,33.458379,-112.783864
AZ,32.71502,-114.62425
LA,32.387587,-91.201234
MO,36.83625,-94.394819
CO,37.961384,-104.794189
FL,29.024561,-82.159121
FL,29.024561,-82.159121
GA,30.92941,-84.63088
AL,34.4802,-87.273
NV,41.100896,-114.955526
OH,40.491684,-81.48138
ID,46.42691,-117.006012
WY,41.53635,-109.4785
ND,44.102922,-103.149374
TN,36.038488,-83.440066
ID,43.496386,-112.051951
VA,37.230258,-79.186603
NM,32.353872,-108.73557
VA,37.93787,-77.46582
VA,37.93787,-77.46582
TX,30.906601,-94.014779
PA,40.354117,-76.727897
ND,46.866366,-99.889063
FL,30.247514,-81.836487
KY,38.857848,-84.625916
NC,35.146682,-80.895659
ND,46.898111,-98.710859
OH,41.537809,-83.467401
LA,32.493301,-91.989651
SD,43.83756,-101.52328
AL,32.986175,-87.789289
LA,32.320686,-90.961712
FL,30.32655,-82.96732
PA,40.001635,-78.233241
MO,36.042409,-90.338366
CO,38.116838,-102.63064
VA,37.450477,-79.120807
WI,45.129173,-89.638053
AL,31.22885,-85.359903
NY,45.008805,-73.451074
GA,33.207243,-84.06077
CO,39.06404,-108.56684
OK,35.53491,-98.23661
MO,36.865498,-94.356783
AL,34.697645,-87.633468
OK,36.05199,-96.075815
OK,36.05199,-96.075815
OK,35.594066,-97.436685
AL,33.819788,-87.152664
TN,36.135798,-85.502601
IN,41.449144,-85.844915
WA,47.479439,-122.216525
IN,41.58046,-87.249244
TN,35.537867,-86.165998
SD,43.979295,-96.763288
MN,46.581487,-95.574601
FL,28.18251,-81.82397
KY,36.702929,-87.454956
AR,35.317588,-91.598627
AR,35.317588,-91.598627
FL,26.235371,-80.136259
PA,40.354117,-76.727897
SC,33.03878,-80.142278
SC,33.03878,-80.142278
TX,27.225753,-98.139949
AR,0.0,0.0
WY,42.75226,-104.4515
PA,41.020208,-76.788099
MO,37.493823,-94.299801
WY,41.15825,-104.661013
AR,34.756059,-92.267774
NY,43.310576,-76.128736
NH,43.0255,-70.826623
MS,32.38323,-88.637829
OK,35.593936,-97.428841
CO,40.159933,-104.979844
SC,34.512346,-80.994609
LA,31.955859,-92.652685
GA,32.1465,-81.161092
WV,39.103608,-80.387792
WA,47.304795,-122.31454
TX,29.529363,-98.110904
IN,42.560398,-84.836208
IN,40.766649,-87.123459
IN,40.766649,-87.123459
TX,30.770623,-97.626373
FL,28.418979,-81.403552
IA,43.083682,-94.23539
ID,43.597409,-116.301584
GA,32.096475,-81.096297
GA,32.071373,-81.157721
NC,35.498634,-80.560934
VT,43.302428,-72.492437
GA,32.469328,-83.741803
GA,34.206522,-84.819027
TX,30.116198,-93.820056
TX,30.64582,-94.94456
OH,40.395637,-84.152992
IA,42.064162,-94.862747
TX,35.192479,-101.7528
TX,29.601786,-97.952011
MN,44.877047,-93.029057
WY,41.773439,-107.084078
NV,40.172171,-118.479405
TX,29.833425,-94.383348
WY,41.392008,-110.184455
UT,37.84206,-112.82727
MO,39.776596,-94.830568
IL,39.791178,-88.259484
IN,41.736019,-86.336652
IN,41.736019,-86.336652
OH,39.614255,-119.263645
IN,39.449205,-87.126249
OH,39.51912,-83.845675
PA,41.0281,-77.9353
TX,27.726404,-98.07785
MI,42.695979,-82.789063
MI,42.695979,-82.789063
NC,35.146682,-80.895659
IN,40.722105,-85.437789
NY,44.930258,-74.883134
MN,43.685517,-93.348131
SD,43.75804,-99.276804
PA,41.552,-75.9142
PA,41.540563,-80.184792
NY,42.63478,-73.755518
AR,34.5542,-90.6811
MT,45.742868,-107.610767
AR,35.65218,-91.28026
VA,36.664569,-77.553854
CO,0.0,0.0
CO,39.310091,-102.237689
CO,0.0,0.0
CO,39.634651,-105.109331
MN,43.835975,-101.622948
CO,39.021515,-104.820428
OK,36.275626,-97.329601
DE,38.802,-75.5863
DE,38.802,-75.5863
MT,46.41106,-112.72527
FL,27.493179,-82.474854
NJ,40.845921,-74.00404
FL,26.062673,-80.433358
FL,26.145065,-80.444389
TN,36.185755,-86.267548
MO,39.442738,-92.42744
FL,30.241241,-82.62704
FL,27.209106,-81.329494
MI,42.223078,-85.785191
MI,42.223078,-85.785191
TX,32.854854,-96.559731
OK,35.594066,-97.436685
OK,35.41206,-99.416099
FL,30.256,-82.121814
IN,41.56743,-87.318524
AR,33.226793,-92.665329
WI,44.937784,-92.374635
SC,34.6298,-82.5994
AR,35.31495,-99.61514
AR,35.31495,-99.61514
VA,37.045065,-79.878168
MS,31.350421,-89.340347
FL,25.772155,-80.145921
FL,25.760331,-80.480685
OK,33.997763,-96.373332
OK,36.391208,-97.931807
GA,33.85452,-84.297218
GA,31.46694,-82.85025
TX,29.436266,-98.37867
GA,31.783749,-81.377404
GA,46.470648,-84.362309
AZ,35.189995,-114.069189
MN,47.496684,-94.916693
ID,47.71131,-116.996834
GA,32.190123,-81.193176
GA,34.576835,-84.946624
TX,32.678213,-97.044999
KS,38.856932,-98.687864
GA,34.77058,-85.54144
GA,34.77058,-85.54144
NV,39.68592,-111.837267
IN,39.08749,-84.87829
TN,36.395696,-87.035227
NY,43.004319,-78.407836
NY,43.004319,-78.407836
NY,43.004319,-78.407836
NY,43.004319,-78.407836
OK,35.594066,-97.436685
LA,32.512892,-93.737695
KY,38.429172,-82.695466
GA,33.66813,-84.339573
PA,39.977743,-76.014402
IA,41.451832,-95.601917
ND,46.885759,-102.738956
AL,32.264049,-86.353646
IA,42.515813,-90.672214
IL,40.751103,-88.001132
IL,40.751103,-88.001132
IL,40.751103,-88.001132
IL,40.751103,-88.001132
IA,42.441295,-90.783241
TX,26.249528,-97.728129
IA,33.71134,-84.21434
GA,31.907209,-81.324312
MO,37.188088,-93.570067
GA,32.024722,-80.848758
IA,39.580721,-80.778843
IA,41.611571,-95.977061
MO,36.8932,-89.5293
NM,35.009616,-106.065207
MO,40.265164,-94.012601
IA,41.493109,-94.318495
IA,41.98587,-92.58064
IA,41.371426,-95.680366
TN,36.32061,-82.832684
NC,34.33952,-78.70811
MN,45.199697,-93.563624
TX,35.187837,-102.011289
SD,43.978609,-96.763332
IA,42.542637,-92.338157
IA,41.451832,-95.601917
KY,38.739634,-84.830391
TX,32.500131,-95.406024
ID,43.572023,-116.189334
ID,43.572023,-116.189334
ID,48.731359,-116.298082
ID,46.428224,-116.9964
WA,47.484263,-120.318303
WA,47.484263,-120.318303
WA,47.484263,-120.318303
AL,33.537314,-86.824154
VA,36.883383,-76.186289
TN,35.304222,-86.885034
UT,38.251369,-112.646191
IL,40.48417,-89.018673
IL,40.48417,-89.018673
IL,40.48417,-89.018673
IL,40.48417,-89.018673
IL,40.48417,-89.018673
IL,40.48417,-89.018673
NY,42.632707,-78.993768
NY,42.632707,-78.993768
IL,37.163342,-88.690493
IL,40.78917,-89.63042
MN,46.286819,-96.119333
VA,36.703253,-77.546981
LA,32.445485,-93.947623
FL,28.874067,-82.09515
FL,28.874067,-82.09515
VA,37.829752,-79.37538
VA,38.631766,-77.799512
IL,40.156673,-89.364624
IL,40.156673,-89.364624
IL,40.157499,-89.412705
IL,40.157499,-89.412705
IL,39.421382,-87.69341
IL,39.421382,-87.69341
IL,31.968011,-110.295854
IL,31.968011,-110.295854
NY,43.082659,-77.933246
NY,42.25444,-78.060687
TX,32.731209,-97.62632
WY,41.784847,-107.261347
MD,39.693133,-79.161336
PA,40.170562,-79.726535
IN,39.851963,-85.282137
ND,46.929677,-104.009387
IA,41.661551,-91.227527
