statecode,longitude,latitude
AZ,-114.070419,35.192515
IL,-87.996,40.753
IL,-87.996,40.753
KY,-86.844076,37.368317
KS,0.0,0.0
KY,-86.499788,37.415232
LA,-93.903275,32.446247
ID,0.0,0.0
KY,-119.263645,39.614255
FL,0.0,0.0
OR,-123.061418,44.365569
FL,-82.00916,26.89382
FL,-82.00916,26.89382
KY,0.0,0.0
MD,0.0,0.0
MO,-89.60073,36.518836
CO,-103.709343,39.270011
NC,-80.742334,36.508918
IL,0.0,0.0
IL,0.0,0.0
IL,0.0,0.0
IL,0.0,0.0
IL,0.0,0.0
AR,-93.184242,33.999541
MO,-92.399477,38.970813
MO,-92.255157,37.131122
LA,-90.45639,30.48379
NE,-97.321384,41.437968
SC,-81.042783,34.009639
LA,-93.129748,30.239141
KY,-88.67524,37.080891
OH,-81.429345,40.878074
ND,-101.008703,46.860409
TX,-96.471741,32.20068
LA,0.0,0.0
WA,-120.493536,46.617408
IN,0.0,0.0
LA,0.0,0.0
KY,-85.069583,38.151566
TX,-98.113808,28.327124
MA,-105.478322,44.290838
TN,-85.479294,36.135014
NC,0.0,0.0
MN,-91.438551,43.923894
IL,-88.95258,38.313745
IL,-88.95258,38.313745
IL,-88.95258,38.313745
GA,-83.474366,33.551988
SD,-101.483678,43.853084
MI,-86.412839,42.090464
MI,-85.505418,43.742712
MI,-85.505418,43.742712
MI,-85.505418,43.742712
TX,-102.506573,36.05511
MD,-76.64536,39.28606
WI,-91.854064,44.907417
MI,-122.99016,45.51721
MI,0.0,0.0
MI,0.0,0.0
MI,0.0,0.0
MI,0.0,0.0
MI,0.0,0.0
GA,-83.218989,30.680712
MI,-84.222343,42.836073
MI,-84.222343,42.836073
MI,0.0,0.0
WI,0.0,0.0
MI,-86.604177,41.885173
MI,-86.604177,41.885173
PA,-107.084078,41.773439
NC,0.0,0.0
MN,-93.573293,43.665687
VA,-80.954212,36.944965
OR,-122.806166,45.237096
SC,-81.057302,32.313885
MI,-84.959549,42.271735
MI,-84.959549,42.271735
MI,-84.959549,42.271735
IL,-87.7549,41.4258
IL,-87.7549,41.4258
IL,-87.7549,41.4258
MN,-93.299793,44.320725
MN,0.0,0.0
MN,-96.28058,46.479316
MN,0.0,0.0
MN,-93.47059423103929,44.80035278946161
MN,-92.068568,43.952163
VA,-78.910354,38.40437
NJ,0.0,0.0
MO,0.0,0.0
WI,0.0,0.0
SD,-103.272947,44.113323
TX,0.0,0.0
IL,-89.538451,38.443948
TX,0.0,0.0
SD,0.0,0.0
FL,-83.571906,30.086855
LA,-92.03883,30.252253
VA,0.0,0.0
VA,-77.875781,37.358209
WY,0.0,0.0
AR,0.0,0.0
AR,0.0,0.0
NM,-104.522539,33.399331
MO,-93.553337,39.81677
TX,-94.647259,29.840758
IL,-89.018673,40.48417
IL,-89.018673,40.48417
IL,-89.018673,40.48417
IL,-89.018673,40.48417
IL,-89.018673,40.48417
MO,-94.501522,37.840337
NE,0.0,0.0
VA,0.0,0.0
MO,-91.01738,39.2327
CO,-104.980458,40.160151
KS,0.0,0.0
KS,0.0,0.0
OH,-84.58168,40.652961
MO,-91.381922,39.695373
FL,0.0,0.0
MO,0.0,0.0
MO,-91.9443,38.861
NE,-99.379818,40.690184
OH,0.0,0.0
NE,-102.949307,41.118558
OR,-117.322413,44.436025
AR,0.0,0.0
VA,-81.85774,36.75943
AL,-88.335714,30.497809
IA,0.0,0.0
IA,0.0,0.0
MO,-94.197273,39.019971
MO,-94.324942,37.83508
MI,-85.151679,42.869728
MI,-85.151679,42.869728
